RecipeName,Ingredients,Calories,Carbon Footprint Amt,Cuisine,Course,Diet,Instructions
Udupi Red Parboiled Rice Shavige Recipe,"4 cups Red matta rice - boiled,1 cup Dosa rice,1/2 cup Fresh coconut - grated,Salt - to taste,3 cups Water -",350,moderate,Udupi,South Indian Breakfast,Vegetarian,"To begin making the Udupi Red Parboiled Rice Shavige recipe, soak red parboiled rice and dosa rice in water for 8 to 10 hours.Drain water and grind it to very smooth paste adding little water along with grated coconut. Add salt to taste. Don't make thin paste, the batter should be spoonable thick. To a greased container, fill the ground thick batter. Place it in a steamer and cook for 30 to 35 minutes. Check if its cooked by piercing a toothpick. If it is done, the toothpick will come out clean. Unmould from the container and place the cooked dough into the idiyappam press when it is hot. Press in a circular shape. You will see strands of Red Parboiled Rice Shavige coming. Serve Red Parboiled Rice Shavige with fresh coconut milk / season it as lemon sevai.Serve Shavige along with South Indian Coconut Chutney or you can make other recipes like Kara Sevai."
 Masala Roti (Recipe in Hindi),"1 cup wheat flour, 1 cup corn flour, 1/2 cup oatmeal, 1/2 cup millet flour, 1/2 cup ragi flour, 1/2 teaspoon red chilli powder, 1/2 teaspoon coriander powder , 1/4 teaspoon turmeric powder, 1 teaspoon flaxseed powder - (flax seed), 1 teaspoon celery - crushed between the palm, 2 teaspoons Kasuri methi, water - navaia, ghee - or oil to cook ,salt to taste",450,moderate,Indian,Lunch,Vegetarian,"To make masala roti, first take all the ingredients (except ghee or oil) in a big pot, add water slowly and knead it well. Splash 1 teaspoon of oil on the dough and knead again for some time. Divide the dough into 10 portions. Preheat the pan. Roll each portion and dust it with dry flour. The thickness of the bread depends on you how thin you roll the bread. After rolling, put the masala roti on the pan and let it cook on medium heat for a while. When the bread starts filling the air, reverse the roti. Apply ghee or oil to the roti and cook from both sides until the roti turns brown and crisp from both the sides. Now remove the cooked roti from the pan, and cook the rest of the flour in the same way. Serve Masala Roti with cumin potatoes for breakfast, or serve it with spinach raita and salad at dinner."
Fruit And Nut Lauki Brownies Recipe,"3/4 cup Rolled Oats - ground to flour,1/2 cup Cocoa Powder - +2 teaspoons,1 teaspoon Baking soda,Salt - a pinch,1/2 cup Peanut Butter - or almond butter,1/2 cup Apple puree - (peeled,1-1/2 cups Bottle gourd (lauki) - grated,1/4 cup Walnuts - chopped,1/4 cup Cranberries - chopped,1/2 cup Chocolate chips,4 tablespoons Honey,1 teaspoon Vanilla Extract,Chocolate ganache - or Chocolate sauce as needed (optional)",150,moderate,Continental,Dessert,Vegetarian,"To begin making Fruit And Nut Lauki Brownies Recipe, prep all the ingredients and keep them ready and handy.Grease and line a square brownie dish and set aside. Also keep the oven on preheating mode at 175 C for about 10 minutes.Meanwhile, beat the nut butter (peanut butter or almond butter, apple sauce made by cooking the apple, grinding and pureeing them, vanilla extract and honey together in a bowl till it looks and feels homogenous.Add grated lauki into this and mix well.In another mixing bowl, mix together oat flour, salt, cocoa powder and baking soda.Combine the wet and dry ingredients together. This should yield a thick batter.Toss the walnuts, cranberries and chocolate chips in 1-2 teaspoons cocoa powder and incorporate into the batter. The batter should not be very runny. You can adjust consistency with one or two teaspoons of oats flour if the batter is thin.Transfer the batter into the brownie dish and bake in a 175 C preheated oven for 28-30 minutes or until done.Insert a skewer in the middle of the dish to check if it is baked thoroughly. If the skewer comes clean, the brownie is done. Or else, you can continue baking for a couple of more minutes till done.Cool on a wired rack. Cut into slices and then top the brownie with chocolate sauce/ganache and serve.This Fruit And Nut Lauki Brownies Recipe can also be served as a party dessert after a meal like Orange Flavored Barbecue Chicken With Fresh Salad Recipe during a barbeque party at home, or after a meal of Fettuccine Pasta with Roasted Red Bell Pepper Sauce Recipe with your family and friends."
Maakhmi Dal Recipe-Sindhi Style Moong Dal,"1/2 cup Yellow Moong Dal (Split) - washed and soaked,1 tablespoon Ghee,1 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Cardamom (Elaichi) Pods/Seeds,2 Onions - finely chopped,2 Tomatoes - pureed,2 teaspoon Ginger - chopped,1 Green Chilli - finely chopped,2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoon Coriander Powder (Dhania),2 teaspoon Cumin powder (Jeera),2 teaspoon Garam masala powder,2 tablespoons Mint Leaves (Pudina) - chopped,Salt - to taste,1 cup Water",200,moderate,Sindhi,Main Course,Vegetarian,"To begin making the Maakhmi Dal, wash and soak the moong dal for 30 minutes.In a pressure cooker, heat ghee on medium flame, add the cinnamon, cloves and cardamom. To this add onions and fry until they turn into a nice deep golden brown colour.Once the onions get the nice brown colour, add the turmeric powder and red chili powder. Mix well.Add the tomato puree at this stage and cook well, until the onion-tomato mix comes together.To this onion-tomato bhuna masala add coriander powder, cumin powder, garam masala, chopped pudina leaves and add salt as required.Add the soaked and drained dal, and water and close the pressure cooker.Pressure cook for 2 whistles and turn off the flame.  Allow the pressure to release naturally. Once you open the pressure cooker, mash the dal with the potato masher and mix well. Serve this Maakhmi Dal, along with Phulka Recipe (Roti/Chapati) - Puffed Indian Bread and Tuk Patata - Aloo Took Recipe (Sindhi Styled Double Baked Crispy Potatoes)"
Corn Cheese Balls Recipe,"1/2 cup Cheese - grated,1 Potato (Aloo) - boiled and mashed,1/2 cup Corn Kernels - boiled,3 tablespoon Green Bell Pepper (Capsicum) - finely chopped,Coriander (Dhania) Leaves - chopped,1 tablespoon Red Chilli flakes,1/2 tablespoon Dried oregano,1/2 tablespoon Black pepper powder,1/8 tablespoon Garlic,1-1/2 tablespoon Corn flour,Salt - to taste,2 tablespoons All Purpose Flour (Maida),1 cup Whole Wheat Bread crumbs,Sunflower Oil - as required for deep frying",150,low,Continental,Appetizer,Vegetarian,"To prepare Corn Cheese Balls Recipe, get all the ingredients handy- grate the cheese, boil veggies and mash boiled potatoes.In a mixing bowl, add the grated cheese, boiled and mashed potato, boiled yellow corn, green capsicum, coriander leaves, red chili flakes, crushed oregano, a little pepper, garlic paste, cornflour and salt and mix everything well.Apply a little oil on your palm and make about 1/2 inches balls from the mixture.In a bowl, add all-purpose flour and water and mix them to get pouring consistency batter.In a kadai, heat enough oil to deep fry.Put some plain flour on one side and bread crumbs on the other side on your work surface.Roll the cheese balls in plain flour, dip them in all-purpose flour batter and then in bread crumbs.Repeat the same process to coat all corn and cheese balls in a similar way.Deep fry coated cheese balls on a medium flame.Serve Corn Cheese Balls Recipe hot with dips like Cottage Cheese Dip, Tzatziki or Peanut Chilli Dipping Sauce."
Sorekai Majjige Huli Recipe (Bottle Gourd In Coconut Yogurt Curry Recipe),"1 Bottle gourd (lauki) - peeled and diced,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),1 cup Curd (Dahi / Yogurt),Salt - to taste,1/4 cup Fresh coconut - grated,1 tablespoon Chana dal (Bengal Gram Dal) - soaked in hot water for 10 minutes,2 Green Chillies,1 teaspoon Cumin seeds (Jeera),1 teaspoon Asafoetida (hing),1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,1 sprig Curry leaves - roughly torn,2 Dry Red Chillies",200,moderate,South Indian Recipes,Lunch,Diabetic Friendly,"We begin making the Sorekai Majjige Huli Recipe (Bottle Gourd In Coconut Yogurt Curry Recipe) by pressure cooking the bottle gourd with 1/2 cup of water in a pressure cooker, you can also add a teaspoon of salt. Pressure cook for 1 whistle and set it aside to release the pressure naturally.Next step is to make the paste, In a blender add in all the ingredients and grind into a smooth paste, you can add water slowly while it is blending.In a sauce pan, add the bottle gourd and the ground paste and mix it evenly, let it cook for 2 minutes. Then reduce the heat to minimum.In a mixing bowl add the curd and add one cup water and beat it till it is smooth and turn into a buttermilk. Slowly add the buttermilk into the bottle gourd mixture and stir continuously. Check for seasonings.In a small-bottomed pan, heat oil and temper the mustard seeds, curry leaves and some torn dry red chilies. Pour in the Kadai onto the yogurt based curry.Serve the Sorekai Majjige Huli Recipe (Bottle Gourd In Coconut Yogurt Curry Recipe) with hot steamed rice and Elai Vadam Recipe (A Traditional South Indian Rice Papad)."
Dum Murgh Kali Mirch Recipe - Chicken In Rich White Gravy,"1 kg Boneless chicken,1 cup Curd (Dahi / Yogurt),2 teaspoons Garam masala powder,1 tablespoon Ginger Garlic Paste,12 Cashew nuts - ground to paste,2 Onions - chopped,2 inch Ginger - julienned,5 cloves Garlic - julienned,5 Green Chillies - slit (adjust),1 cup Fresh cream,7 Whole Black Peppercorns - crushed (adjust),2 teaspoons Cumin powder (Jeera),Coal - a few,3 tablespoons Ghee,3 tablespoons Coriander (Dhania) Leaves - chopped,Salt - to taste",350,low,Indian,Side Dish,Non Vegetarian,"To prepare Dum Murgh Kali Mirch Recipe, cut chicken in cubes then marinate it with ginger garlic, half of the curd, Garam masala powder, and salt to taste. Set it aside for 2-3 hrs or overnight. In a kadai, add a little ghee. When the ghee is hot, on medium flame, add chopped onions, green chilies to it and saute it till the onions are translucent and softened.Wait till the onions and green chillies are a bit cooled and then take a mixer and blend it to a thick paste, adding a few teaspoons of water only if required. We need a thick paste here.In the same kadai, heat a little more ghee and add the cubed boneless chicken to the kadai when the ghee is hot enough.Saute on a medium flame, keep it covered, till the chicken cubes are cooked well. Take out the chicken and keep it aside.Add another tablespoon of ghee to the kadai, when it is heated, add ginger garlic juliens to it. Sauté it for a minute. Then add the blended onions paste, cashew paste, cumins, curd and cook till the gravy comes together. At this point, add chicken to the above mixture, mix together add some water if needed.Let it cook on medium-low flame for about 2 minutes or till the gravy seems a little absorbed and mixed very well with chicken.Now add garam masala and ground black pepper and fresh cream. Mix properly. Now when Dum Murgh Kali Mirch is almost done a chopped coriander. Continue to cook on low flame. Now to smoke the chicken gravy, heat coal till red hot on the burner, by holding the coal with tongs.Take a small steel katori put heated coal on it and place the steel katori in the middle of the kadai and pour a teaspoon of ghee or oil on it and cover the kadai immediately. Let the smoke fill the kadai and flavour up the dish very well.Keep Dum Murgh Kali Mirch covered till all the dum or steam is settled. Turn off the flame and transfer to a serving dish. Serve Dum Murgh Kali Mirch Recipe along with Whole Wheat Naan Recipe, and Chicken Keema Biryani Recipe, Papad Raita Recipe for a complete meal."
Spanish Omelette Recipe (Tortilla Espanola),"5 Whole Eggs,1 Onion - sliced or diced,3 Potatoes (Aloo) - peeled and cut into bite sized pieces,1/2 teaspoon Whole Black Peppercorns - crushed,1/2 teaspoon Paprika powder - or red chilli powder (adjustable),1/4 cup Extra Virgin Olive Oil,Salt - to taste,2-3 Spring Onion Greens - or coriander leaves for garnishing",150,moderate,Mediterranean,World Breakfast,Eggetarian,"To begin making the Spanish Omelette, first heat the oil in a small non-stick omelet panAdd the potatoes and onion and saute, stirring continuously till the potatoes are just cooked. This will take about 10-12 minutes.Take the potatoes and onions out of the pan using a slotted spoon and place on a plate.Sprinkle salt, black pepper and paprika on the potatoes and onions and toss to mix.Crack the eggs in a small bowl and sprinkle the salt. Whisk thoroughly until fluffy.Add the fried potatoes to the eggs and mix again.Keep 1 tablespoon of oil in the omelet pan and drain the rest.Pour the egg-potato mixture to the pan. Cover and cook on low heat till the bottom is lightly browned and the top is no longer jiggly.Loosen the bottom of the omelette using a flat spatula to release the edges. Place a flat large plate over the pan and carefully slide the omelette onto it.Slide the omelette back on to the pan, uncooked side down this time, cook till the eggs are done on either side.Cut a wedge from the Spanish Omelette and serve garnished with onion greens.Serve the Spanish Omelette along with Banana Almond & Prunes Smoothie for a wholesome breakfast."
Palak Onion Kadhi Pakora Recipe,"1/2 cup Gram flour (besan),50 grams Spinach - finely chopped,1 Onion - chopped,1/2 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 Green Chilli - chopped,1/2 teaspoon Enos fruit salt,Sunflower Oil - as required,3/4 cup Gram flour (besan),1 cup Hung Curd (Greek Yogurt),2-1/2 cups Lukewarm Water,1 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,1 pinch Asafoetida (hing),Salt - to taste,1/4 teaspoon Cumin seeds (Jeera),1 Green Chilli - slit,1 sprig Curry leaves,1 tablespoon Ghee,Coriander (Dhania) Leaves - few,Salt - to taste",450,low,Punjabi,Lunch,Vegetarian,"To begin making the Palak Onion Kadhi Pakora Recipe, we will make the pakoras first. *Method for Pakora'sCombine all the ingredients for the palak pakora in a large bowl. Add very little water to make a thick batter.Heat the kuzhi paniyaram pan on medium heat; add a teaspoon of oil into each of the cavities and drop a spoon of the pakora batter into the cavity. Cover the pan and steam cook the pakora's until you notice the top has steamed.Once the top has steamed, flip them over to cook on the other side. Continue to cook on medium heat until the pakoras has cooked through from the inside and have a golden brown color. Proceed the same way with the remaining pakora batter and keep them aside.*Method for the Punjabi KadhiWhisk the yogurt, gram flour, water, asafoetida, chilli powder, turmeric powder, coriander powder, garam masala powder and salt until well blended. Add the water and whisk more until well blended. Place the kadhi in a saucepan, on medium high heat and allow it to come to a brisk boil.Keep whisking it continuously while it is on heat, as this will help the yogurt and the spices along with gram flour come together into a creamy texture. Allow the kadhi to boil briskly for about 3 to 4 minutes, then turn the heat to low and simmer for another 5 minutes.The simmering process helps the kadhi get the flavors of the spices and the gram flour. It will thicken slightly and attain a smooth creamy consistency and it will have a shine to it.Towards the end of the simmering process, add in the spinach pakora's. We will proceed to make the seasoning for the Khadi.Heat ghee in a large sauce pan; add cumin seeds, mustard seeds, cinnamon stick and the whole red chillies. Allow them to crackle. Add the onions and ginger and saute until onions turn golden and tender. Finally, stir in the curry leaves and pour the seasoning mixture into the simmering Kadhi.Note: The Kadhi will thicken as the Pakora simmers in the yogurt curry, so once again adjust the thickness by adding little or more water as required and adjust to the consistency you like. Check the salt and spice levels and adjust to suit your taste.Transfer the Palak Kadhi Pakora to the serving bowl. Garnish with chopped coriander leaves.Serve the Palak Onion Kadhi Pakora along with Phulka, Bhindi Masala Recipe (Bhindi Tamatar Ki Sabzi) and Bean Sprout & Corn Salad Recipe."
 Dry Navratan Korma (Recipe In Hindi),"1 cabbage - cut into small pieces, 2 carrots - finely chopped, 5 green beans - chopped, 1/2 cup green chili, 1 capsicum (green) - chopped, 2 potatoes - sliced, 2 onions - chopped, 1 Inch ginger - chopped, 4 cloves garlic - chopped, 2 green chillies - chopped, 2 tomatoes - puree, 1-1 / 5 tablespoon coriander powder, 1/2 tablespoon garam masala powder, 1 teaspoon red chili powder , Salt - as per taste, oil - as per use, 2 bay leaves, 1 cinnamon, 2 cardamom, 1 teaspoon celery, 100 gms cottage cheese - small pieces, 1 cup butter, 1/2 cup cashew nuts - make paste, 1/2 Cups Pineapple - cut into small pieces, 1/2 cup pomegranate, 2 tablespoons raisins, cashews - some, green coriander - to garnish, Coriander (Dhania) Leaves - few for garnishing",100,low,North Indian Recipes,Lunch,Vegetarian,"To make Navratan Korma (dry), first of all prepare the ingredients. Now heat oil in a pan and add pieces of paneer to it. Fry it well and drain it to soak more oil on a tissue. Add some more oil and add all the spices. After 10 seconds, add onion and cook till it becomes soft. After the onion is soft, add ginger garlic paste and green chillies. Cook it for 2 to 3 minutes. Now add tomato puree and cook for 3 to 5 minutes. Now add chopped vegetables to it. Mix well and then add coriander powder, red chili powder, garam masala and let it cook for 5 minutes. Add cashew paste and butter after 5 minutes and mix them all. After this, add 1/2 cup water and cover the pan. Allow it to cook for 7 to 8 minutes. When the vegetables become soft, add raisins and cashews to it. After 1 minute add pineapple and pomegranate to it. Turn off the gas, add pieces of panner and garnish the green. Serve Navratan Korma (dry) with Phulka, Panchamel Dal and Bundi Raita for dinner."
 Madurai Spicy Tomato Chutney Recipe,"2 onions, 5 dry red chillies, 2 tomatoes, 2 sprig curry leaves, 1 tsp rye, 2 tsp urad dal, salt - as per taste, 1/4 cup water, 3 tsp sesame oil, 2 tsp tamarind Paste, 1/2 tsp sugar",200,moderate,Tamil Nadu,Side Dish,Vegetarian,"To make Madurai Tomato Chutney Recipe, first cut the onion tomatoes and keep them separately. Now heat oil in a pan. Add dry red chillies, onions, tomatoes and cook for 5 minutes. Turn off the gas and allow it to cool. Pour this mixture into the mixer grinder with 2 tablespoons of water and grind it. Now heat sesame oil in a pan. Add mustard seeds and let it splutter. Now add urad dal, curry leaves and cook the urad dal till it becomes golden brown. Now add onions and cook till they become soft. Now add the remaining tomatoes and cook till they become soft. Now add ground tomato onion chili mixture, some water and let it boil. Turn off the gas after boiling and serve. Serve Madurai Tomato Chutney Recipe with Rava Idli, Keerai Sambar and Filter Coffee for breakfast."
Baked Cauliflower Samosa Recipe,"2 cup Whole Wheat Flour,1/4 cup Sunflower Oil,1/2 teaspoon Baking soda,1/2 teaspoon Salt,Water - as needed,1 cup Cauliflower (gobi) - small florets,1 cup Potato (Aloo) - diced and peeled,2 tablespoons Raw Peanuts (Moongphali),1 tablespoon Ginger - grated,1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),1 pinch Asafoetida (hing),1 Dry Red Chilli,5 Green Chillies,1 teaspoon Turmeric powder (Haldi),1 tablespoon Sugar,1 tablespoon Sunflower Oil,1 teaspoon Kasuri Methi (Dried Fenugreek Leaves),Salt - to taste,Sunflower Oil - to spray",200,low,Indian,Snack,Vegetarian,"To begin making Baked Cauliflower Samosa Recipe, prepare all the ingredients and start with making the dough.In a bowl, add 2 cup atta (wheat flour), oil, salt and baking soda. Keep mixing with hand  until the dough becomes crumbly enough to take a shape.Add water and make a medium tight dough, almost like chapathi dough. Cover it and rest it for 20 minutes.For Stuffing In a frying pan, heat oil, add raw peanuts, fry a bit till roasted, and then add dried whole red chilli, hing powder, fennel and cumin seeds for tadka and saute a bit.After seeds start crackling add blanched cauliflower and diced potato.Fry for about 2 minutes then add salt, sugar, turmeric powder, grated ginger and green chillies. Mix it properly then let it cook on low heat. Stir occasionally until vegetables are well cooked. Add kasuri methi and let it cool before proceeding to stuffing it.Making SamosasPreheat oven into 350 F(180 C).Divide dough into 6-7 balls. with a rolling pin roll each dough in a round shape to medium thickness then cut them in the middle. Take one portion of the flattened dough and shape like a cone overlapping the flat side together. Now put 1 and 1/2 tsp of stuffing inside the samosa cone and seal the edges with brushing water on the edges. Cover them with kitchen towel otherwise it will dry out.In a baking tray, place a parchment paper and line up all samosas. Spray some cooking oil over them.Bake samosas for 40 -45 minutes or when it nice golden in color. Cooking time varies from oven to oven so after 30 minutes check them, when done, you can take them out and allow them to cool a bit before serving for snacks.Enjoy this Baked Cauliflower Samosa Recipe with Khajur Imli Chutney or plain tomato ketchup with a hot cup of Ginger Cardamom Chai for an evening."
Tomato Basil Chicken Recipe,"2 Chicken breasts,2 teaspoons Mixed Herbs (Dried),3 tablespoons Lemon juice,2 teaspoons Extra Virgin Olive Oil,Salt - to taste,1 sprig Basil leaves - finely chopped,2 tablespoons Extra Virgin Olive Oil,3 cups Homemade tomato puree,1/4 cup Basil leaves - fresh leaves,1 Onion - finely chopped,10 cloves Garlic - finely chopped,1 tablespoon Mixed Herbs (Dried),1 teaspoon Red Chilli powder,Salt - to taste,Sugar - to taste",100,moderate,Continental,Main Course,Non Vegetarian,"To begin making the Tomato Basil Chicken Recipe, wash and thoroughly clean the chicken breasts. Into the bowl add the chicken, add mixed herbs, lemon juice, olive oil and salt. Mix well. Heat a skillet on medium-high heat to pan sear the chicken pieces. Place the chicken pieces and cook only for a minute on both sides till it gets a light brown colour and is just about cooked.To make the tomato basil sauceHeat a saucepan with olive oil, add the garlic and onions and saute till until the onions soften and till the aroma wafts in the air. Next add the torn basil leaves, tomato puree, herbs, red chilli powder, salt and sugar . Bring the tomato basil sauce to a brisk boil. After a few minutes, add the grilled chicken breasts into the tomato basil sauce. Turn the heat to low, cover the pan and cook the Tomato Basil Chicken for about 10 minutes, until the chicken has absorbed all the flavours and is cooked through as well.Once done, turn off the heat and transfer the Tomato Basil Chicken Recipe to a serving bowl and serve hot.Serve  Tomato Basil Chicken Recipe along with some Garlic Bread With Herb Butter Recipe and Fizzy Pomegranate & Mint Mocktail Recipe for a weekend dinner or even for your house parties along with Herbed Buttered Rice Recipe With Green Peas and a Savory Melon Salad Recipe (Spiced with Ginger & Mint)."
How to Cook Root Vegetables like Potatoes using a Pressure Cooker,"300 grams Potatoes,1/4 cup Water",150,moderate,Continental,Main Course,Non Vegetarian,"To begin pressure cooking the potatoes, first thoroughly clean them under running water. You can lightly scrub them too, to remove all the excess soil and grime that is usually present on the peels of potatoes and other underground spuds.Next, you can either cut the potatoes into half or place the whole potato into the pressure cooker.Add 1/4 cup of water into the cooker. Place the lid over it along with the weight. Cover and cook on a high heat until you hear the about two whistles.After the first two whistles, turn the heat to low and simmer for three minutes, after which you can turn the heat off.Once you turn the heat off, wait for the pressure to release naturally as the steam present inside continues to cook the potatoes for a while longer. This may take up to 10 minutes. Once the pressure has released, you will be able to lift the weight easily and open the lid of the cooker.You can test the potatoes for done-ness by inserting a knife into them. If the knife passes in easily, the potatoes are cooked. Cool them completely to make peeling them easier for you.Once peeled, you can either use as is, or mash them up for recipes like Rajma Galouti Kebab or other even other spuds like Arbi/Colocasia used in Arbi Ke Kebab or yams, as used in this Jimikand Ke Kebab."
Turai Pyaz Hari Mirch Ki Sabzi Recipe-Ridge Gourd Stir Fry With Green Chili And Onions,"300 grams Ridge Gourd (Turai/ Peerkangai) - peeled and diced,2 Badi hari mirch (Large Green Chilli) - diced,1 teaspoon Ajwain (Carom seeds),1 Onion - finely chopped,2 cloves Garlic - finely chopped,1 inch Ginger - grated,1 Tomato - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Amchur (Dry Mango Powder),1 tablespoon Jaggery,Salt - to taste,1 teaspoon Sunflower Oil,Coriander (Dhania) Leaves - finely chopped",200,moderate,North Indian Recipes,Lunch,Vegetarian,"To begin making the Turai Pyaz Hari Mirch Ki Sabzi, first prep all the ingredients and keep ready. Remove the seeds from the badi hari mirch and keep aside.Heat a teaspoon of oil in a pressure cooker, add the ajwain seeds and allow it to crackle. Add the onions, ginger, garlic and saute until the onions become tender.Once the onions are tender, add the tomatoes and the rest of the masalas and saute for a few seconds. Finally add the chopped Turai (ridge gourd), badi hari mirch and salt to taste.Add 1/4 cup of water, cover the pressure cooker and cook until you hear three whistles and turn off the heat.Once done, release the pressure immediately by running the cooker under cold water to release the pressure.Check the taste of Turai Pyaz Hari Mirch Ki Sabzi and adjust salt and spices accordingly. Once done, stir in the coriander leaves, transfer to a serving bowl and serve.Serve the Turai Pyaz Hari Mirch Ki Sabzi Recipe along with Methi Thepla, Mooli Raita for a wholesome weeknight dinner."
Baby Corn Carrot Sabzi Recipe,"1 cup Baby corn - sliced,2 Carrot (Gajjar) - cut into medium sized cubes,1 Green Chilli - chopped,1 teaspoon Fennel seeds (Saunf),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Jaggery,1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,3 tablespoons Fresh coconut - grated,1 sprig Coriander (Dhania) Leaves - chopped,Sunflower Oil",100,low,North Indian Recipes,Side Dish,Vegetarian,"To begin making the Baby Corn Carrot Sabzi Recipe, we will first pressure cook the vegetables with water and salt for about 1 whistle till it is done.Allow the pressure to release naturally, drain excess water if there is any.Heat a saucepan with oil, add fennel seeds allow it to crackle, reduce the heat and add green chilli and saute till it softens.Add cooked vegetables and saute for 2 minutes. Add all the spice powders including red chilli powder, coriander powder, amchur powder, turmeric powder, salt along with jaggery and give a stir.Once the masalas are coated well, add grated coconut and check for seasonings. Finally add coriander leaves and serve hot. Serve the Baby Corn Carrot Sabzi Recipe along with Tawa Paratha, Spicy Paneer Pulao With Vegetables and Raita to make it a complete meal for your lunch."
Moong Dal Dubka Recipe,"1 cup Yellow Moong Dal (Split) - soaked for an hour,2 Tomatoes,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Mustard oil,Salt - Salt to taste,1 Onion - roughly chopped,1 inch Ginger,4 cloves Garlic,3 Dry Red Chillies,1 teaspoon Cumin seeds (Jeera),2 tablespoons Coriander (Dhania) Seeds,1 teaspoon Whole Black Peppercorns",350,moderate,North Indian Recipes,Side Dish,Vegetarian,"To begin making Moong Dal Dubka Recipe, wash and soak the moong dal for an hour, then grind it to a coarse paste using a mixer grinder and keep aside.Make a fine paste of the ingredients mentioned in the spice paste table using a mixer and keep aside.Smoke mustard oil in a wide pan on medium heat till it is seasoned well.Add the ground spice paste into it and fry until the raw smell of the onion garlic goes away.Add the tomato puree, turmeric powder, season with salt and saute until the tomato puree is cooked well.Now, add the coarsely ground moong dal mix and enough water and let it simmer until the dal is cooked.It keeps getting thicker, so adjust the amount of water to your desired consistency and season with required salt.Switch off the flame and serve the Moong Dal Dubka Recipe along with Steamed Rice and Kalonji Gobi Aloo recipe for a hearty winter lunch."
Cucumber Honey Limeade Recipe,"1 Cucumber - juiced and strained,2 tablespoons Honey - (adjust),1 teaspoon Salt - (adjust),2 tablespoons Lemon juice,1/4 cup Aerated water (Soda Water),2 tablespoons Water,Ice cubes - to serve",200,moderate,Continental,Vegetarian,Vegetarian,"To begin making Cucumber Honey Limeade Recipe, peel a cucumber and cut into small pieces.In a blender blend cucumber, strain in a strainer and extract the juice.In a mixing jar add honey, lemon juice, salt, cucumber juice and water. Mix it well.Pour in a serving glass living 1/4 space for club soda. Fill with chill club soda and add ice cube. Cucumber Honey Limeade is ready to serve and enjoy.Serve Cucumber Honey Limeade Recipe as an energy drink on a summer evening with Tea Sandwich Recipe With Beets, Radish, Avocado and Arugula or Grilled Tofu Satay Recipe (Wrapped in Lettuce with Peanut Dipping Sauce)."
Konkani Style Vengaya Sagle Recipe - Eggplant Drumstick Curry,"1 Drumstick - cut into 2 inch long,4 Brinjal (Baingan / Eggplant),1 teaspoon Mustard seeds,1 teaspoon Urad Dal Flour,Salt - to taste,Sunflower Oil,4 tablespoon Fresh coconut,4 Dry Red Chillies,1 tablespoon Coriander (Dhania) Seeds,1 tablespoon White Urad Dal (Split),18 grams Tamarind,1 tablespoon Jaggery",50,low,Konkan,Lunch,Vegetarian,"To begin making the Konkani Style Vengaya Sagle Recipe, firstly pressure cook the drumstick in about 1/4 cup water, salt and little turmeric powder for about 2 whistle. Allow the pressure to release naturally and set aside. Then heat a skillet, roast the coriander seeds and urad dal till it is golden brown. Once they have roasted well and allow it to cool down.In a mixer add in the roasted ingredients and the rest of the ingredients (fresh coconut, dry red chillies, tamarind & Jaggery). Add a little water and grind it into a smooth paste.Heat the same skillet, add oil, and splutter the mustard seeds and urad dal on low heat. Then add in the ground paste saute for about 2 minutes.Add chopped brinjal and sprinkle with salt and saute for at least 5 more minutes until they soften. Add in the boiled drumstick and give it good mix. Check for seasoning and garnish with some coriander leaves and serve warm. Serve the Konkani Style Vengaya Sagle Recipe along with Goan Chana Ros Recipe (White Peas Curry) and Neer Dosa to make it a complete meal. "
